property_name,location,type,price,bedrooms,bathrooms,max_guests,amenities,description,airbnb_id,booking_id
Cape Town Villa,Cape Town Western Cape,house,2500,3,2,6,"Pool,Garden,View",Beautiful villa with ocean views,CT001,CT001
Joburg Suite,Johannesburg Gauteng,apartment,1800,2,1,4,"Gym,Security,Wifi",Modern apartment in city center,JB001,
Durban Beach House,Durban KwaZulu-Natal,house,2200,4,3,8,"Beach Access,Pool,Braai",Spacious beach house with private pool,,DB001
Cape Town Villa,Cape Town Western Cape,house,2500,3,2,6,"Pool,Garden,View",Luxury villa with ocean views,CT002,CT001
Stellenbosch Cottage,Stellenbosch Western Cape,cottage,1500,2,1,4,"Garden,Mountain View",Charming cottage in wine country,ST001,
Pretoria Penthouse,Pretoria Gauteng,apartment,3000,3,2,6,"Pool,Gym,Concierge",Luxury penthouse with city views,PT001,
Port Elizabeth Bungalow,Port Elizabeth Eastern Cape,house,1200,3,2,6,"Garden,BBQ Area",Family-friendly bungalow near the beach,PE001,
Bloemfontein Studio,Bloemfontein Free State,studio,800,1,1,2,"Kitchenette,Work Desk",Compact studio for business travelers,BF001,
Nelspruit Lodge,Nelspruit Mpumalanga,lodge,1800,2,2,4,"Garden,BBQ,Pool",Peaceful lodge in nature reserve,NL001,
Kimberley House,Kimberley Northern Cape,house,1000,3,2,6,"Garden,Secure Parking",Historic house in diamond city,KM001,
Polokwane Apartment,Polokwane Limpopo,apartment,1200,2,1,4,"Security,Pool,Gym",Modern apartment with amenities,PL001
